Index_ID,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
53,5740591,Closed,currency 1,-973,0,-759.0,-755.0,,0,94320.0,0.0,,0.0,Consumer credit,-691,
60,6503942,Active,currency 1,-601,0,-389.0,,0.0,0,27437.13,0.0,0.0,0.0,Consumer credit,-592,
61,6563274,Active,currency 1,-610,0,848.0,,,0,67500.0,0.0,0.0,0.0,Credit card,-24,
62,5036551,Closed,currency 1,-553,0,-369.0,-418.0,,0,31500.0,0.0,,0.0,Consumer credit,-417,11610.0
63,6155390,Closed,currency 1,-2426,0,-601.0,-1443.0,,0,225000.0,0.0,0.0,0.0,Consumer credit,-755,
65,6053473,Active,currency 1,-641,0,,,,0,207000.0,177088.5,,0.0,Credit card,-20,188352.0
66,5243028,Active,currency 1,-908,0,-178.0,,,0,225000.0,0.0,0.0,0.0,Consumer credit,-418,0.0
67,6039357,Closed,currency 1,-1127,0,-1003.0,-1002.0,,0,27814.5,0.0,0.0,0.0,Consumer credit,-715,
68,6072562,Active,currency 1,-37,0,,,0.0,0,315000.0,258214.5,56784.51,0.0,Credit card,-17,
70,5665833,Closed,currency 1,-2541,0,-2328.0,-2387.0,270.0,0,80923.5,0.0,0.0,0.0,Consumer credit,-2387,
72,6395722,Active,currency 1,-467,0,1357.0,,,0,301500.0,283032.0,,0.0,Credit card,-10,30150.0
73,5305812,Closed,currency 1,-2299,0,-1751.0,-1751.0,,0,202500.0,0.0,0.0,0.0,Consumer credit,-1310,
75,5560844,Closed,currency 1,-818,0,-468.0,-588.0,,0,64260.0,0.0,0.0,0.0,Consumer credit,-581,
76,5138843,Active,currency 1,-721,0,-386.0,,0.0,0,134425.8,15165.0,0.0,0.0,Consumer credit,-659,
78,6781852,Active,currency 1,-1158,0,-70.0,,,0,90000.0,72508.5,0.0,0.0,Credit card,-110,7987.5
82,5739338,Active,currency 1,-190,0,748.0,,0.0,0,2385000.0,2004399.0,0.0,0.0,Consumer credit,-14,99022.5
83,6569313,Closed,currency 1,-1822,0,-1699.0,-1676.0,,0,19926.0,0.0,0.0,0.0,Consumer credit,-896,0.0
84,5133220,Active,currency 1,-84,0,11.0,,,0,180000.0,0.0,0.0,0.0,Credit card,-74,
85,5787903,Closed,currency 1,-1081,0,726.0,-806.0,,0,0.0,0.0,,0.0,Credit card,-337,
86,6418601,Closed,currency 1,-360,0,-56.0,-86.0,,0,102960.0,0.0,,0.0,Consumer credit,-74,
87,5170740,Closed,currency 1,-2711,0,-2498.0,-2520.0,,0,32158.62,0.0,,0.0,Consumer credit,-857,
88,6544653,Closed,currency 1,-2025,0,-929.0,-928.0,,0,687150.0,198400.5,,0.0,Consumer credit,-812,8365.5
89,5542199,Closed,currency 1,-2837,0,-2440.0,-2499.0,,0,46606.5,0.0,,0.0,Consumer credit,-887,
90,5098121,Closed,currency 1,-1507,0,-1325.0,-1322.0,,0,31360.5,0.0,0.0,0.0,Consumer credit,-799,
91,5849905,Closed,currency 1,-1295,0,-564.0,-549.0,,0,225000.0,0.0,,0.0,Consumer credit,-548,
92,5882431,Closed,currency 1,-1509,0,-1142.0,-1142.0,,0,102780.0,0.0,0.0,0.0,Consumer credit,-1142,
93,6144257,Closed,currency 1,-859,0,,-512.0,,0,135000.0,0.0,,0.0,Consumer credit,-512,
94,5194040,Active,currency 1,-104,0,1059.0,,,0,135000.0,0.0,0.0,0.0,Credit card,-14,
95,6049335,Closed,currency 1,-1886,0,-1703.0,-1703.0,,0,58500.0,0.0,0.0,0.0,Consumer credit,-1483,
96,5072644,Closed,currency 1,-2572,0,-2025.0,-2079.0,,0,180000.0,0.0,0.0,0.0,Consumer credit,-1092,
98,5724158,Active,currency 1,-1460,0,-257.0,,,0,225000.0,226723.5,0.0,0.0,Credit card,-17,
99,5024670,Closed,currency 1,-979,0,849.0,-218.0,,0,0.0,0.0,,0.0,Credit card,-208,0.0
101,6090583,Closed,currency 1,-522,0,1304.0,-460.0,,0,184500.0,0.0,0.0,0.0,Consumer credit,-452,
103,6291125,Closed,currency 1,-414,0,-53.0,-27.0,,0,146295.0,,,0.0,Consumer credit,-21,
105,6290205,Closed,currency 1,-1875,0,-1570.0,-1570.0,,0,111811.5,0.0,0.0,0.0,Consumer credit,-903,
107,5181981,Active,currency 1,-114,0,1347.0,,0.0,0,2482768.665,2425815.0,0.0,0.0,Consumer credit,-11,
109,5508334,Active,currency 1,-1191,0,1003.0,,,0,171000.0,181732.5,0.0,0.0,Credit card,-20,
110,5065020,Closed,currency 1,-1147,0,-994.0,-994.0,,0,25519.5,0.0,0.0,0.0,Consumer credit,-993,
111,6401853,Closed,currency 1,-1429,0,-693.0,-693.0,,0,56016.0,0.0,0.0,0.0,Consumer credit,-690,
112,5943099,Closed,currency 1,-1213,0,-856.0,-846.0,,0,53914.5,0.0,,0.0,Consumer credit,-495,
113,5447332,Closed,currency 1,-1835,0,-10.0,-87.0,,0,1350000.0,0.0,0.0,0.0,Consumer credit,-81,
114,5053952,Active,currency 1,-891,0,935.0,,,0,315000.0,203971.5,0.0,0.0,Consumer credit,-38,12600.0
115,6366334,Closed,currency 1,-2626,0,-2316.0,-2301.0,,0,231750.0,0.0,0.0,0.0,Consumer credit,-935,0.0
116,6595055,Closed,currency 1,-2395,0,-2091.0,-2091.0,,0,78664.5,0.0,,0.0,Consumer credit,-548,15930.0
117,6227147,Closed,currency 1,-2872,0,-2141.0,-2829.0,,0,585000.0,0.0,0.0,0.0,Consumer credit,-1394,
118,6352471,Closed,currency 1,-2645,0,-818.0,-1473.0,,0,1170000.0,0.0,0.0,0.0,Consumer credit,-697,
119,5689881,Closed,currency 1,-2308,0,-1759.0,-2076.0,,0,450000.0,0.0,0.0,0.0,Consumer credit,-362,
121,5159833,Closed,currency 1,-2388,0,-2174.0,-2233.0,11565.0,0,60295.5,0.0,0.0,0.0,Consumer credit,-2233,13852.935
122,5928057,Closed,currency 1,-1193,0,-1014.0,-1014.0,,0,48042.0,,,0.0,Consumer credit,-1014,
123,5722063,Closed,currency 1,-1917,0,-1733.0,-1724.0,,0,49005.0,0.0,0.0,0.0,Consumer credit,-854,
125,6092974,Closed,currency 1,-755,0,-116.0,-167.0,,0,450000.0,0.0,,0.0,Consumer credit,-164,
128,5537299,Closed,currency 1,-1919,0,-1799.0,-1827.0,,0,28435.995,0.0,,0.0,Consumer credit,-866,
130,6411811,Closed,currency 1,-474,0,1353.0,-294.0,,0,0.0,0.0,,0.0,Credit card,-38,28399.5
131,5322711,Active,currency 1,-405,0,,,3090.24,0,112500.0,94783.5,5680.935,0.0,Credit card,-14,
132,5162593,Closed,currency 1,-2605,0,-2270.0,-2299.0,0.0,0,68577.3,0.0,0.0,0.0,Consumer credit,-2299,14179.5
133,6516877,Closed,currency 1,-2709,0,-2343.0,-2030.0,0.0,0,94500.0,0.0,0.0,0.0,Consumer credit,-2029,
135,6077816,Active,currency 1,-277,0,27.0,,,0,81490.5,15570.0,,0.0,Consumer credit,-28,8581.5
136,6486407,Active,currency 1,-2094,0,,,,0,158809.5,367470.0,0.0,0.0,Credit card,-3,
137,6017096,Active,currency 1,-142,0,1076.0,,,0,202500.0,34731.0,0.0,0.0,Credit card,-22,
139,6266492,Closed,currency 1,-2771,0,-2559.0,-2577.0,10184.4,0,56082.87,0.0,0.0,0.0,Consumer credit,-2558,
140,5729913,Active,currency 1,-1819,0,693.0,,13099.68,0,135000.0,-279.09,202779.09,0.0,Credit card,-705,
141,6003764,Closed,currency 1,-810,0,-748.0,-748.0,,0,20061.0,0.0,0.0,0.0,Consumer credit,-709,
143,5312751,Closed,currency 1,-546,0,,-292.0,,0,4500.0,,,0.0,Consumer credit,-292,
144,5830780,Closed,currency 1,-1940,0,-1848.0,-1880.0,,0,28053.0,0.0,0.0,0.0,Consumer credit,-1505,
147,5414559,Closed,currency 1,-2852,0,-2533.0,-2400.0,,0,63504.0,,,0.0,Consumer credit,-2400,
148,5856859,Closed,currency 1,-2911,0,-2607.0,-2607.0,,0,13513.5,0.0,,0.0,Consumer credit,-2607,
149,6054992,Active,currency 1,-415,0,688.0,,,0,18000.0,23782.5,0.0,0.0,Credit card,-20,
151,5728973,Closed,currency 1,-974,0,-790.0,-757.0,,0,30960.0,0.0,0.0,0.0,Consumer credit,-756,
153,6349218,Closed,currency 1,-1384,0,-1124.0,-1124.0,,0,64570.5,0.0,,0.0,Consumer credit,-1122,
155,5083341,Closed,currency 1,-393,0,-173.0,-173.0,,0,75298.5,0.0,,0.0,Consumer credit,-150,
156,5232342,Closed,currency 1,-759,0,-392.0,-635.0,,0,119250.0,0.0,0.0,0.0,Consumer credit,-633,
157,5196900,Active,currency 1,-671,0,437.0,,,0,337500.0,0.0,0.0,0.0,Credit card,-100,0.0
158,5849718,Closed,currency 1,-1791,0,-1639.0,-1642.0,,0,24196.5,0.0,0.0,0.0,Consumer credit,-1588,
160,6822544,Closed,currency 1,-2593,0,-2196.0,-2225.0,0.0,0,22850.1,0.0,0.0,0.0,Consumer credit,-2200,
162,5459195,Active,currency 1,-206,0,900.0,,,0,2835130.5,2454493.5,0.0,0.0,Car loan,-8,
164,5576703,Active,currency 1,-547,0,1279.0,,,0,299205.0,244089.0,0.0,0.0,Consumer credit,-14,
165,6067776,Closed,currency 1,-2230,0,-1865.0,-1893.0,2385.0,0,20746.305,0.0,0.0,0.0,Consumer credit,-1893,
166,5705910,Active,currency 1,-853,0,884.0,,,0,0.0,0.0,0.0,0.0,Credit card,-22,
167,5440909,Closed,currency 1,-979,0,847.0,-76.0,,0,445500.0,0.0,0.0,0.0,Consumer credit,-63,
168,5242618,Closed,currency 1,-565,0,-200.0,-200.0,,0,702000.0,0.0,,0.0,Consumer credit,-168,
170,6495838,Closed,currency 1,-900,0,-169.0,-644.0,,0,225000.0,0.0,0.0,0.0,Credit card,-356,
173,5044317,Closed,currency 1,-1200,0,-926.0,-953.0,0.0,0,95881.68,0.0,0.0,0.0,Consumer credit,-953,
176,5543600,Closed,currency 1,-747,0,-352.0,-505.0,,0,151650.0,0.0,0.0,0.0,Consumer credit,-504,
177,6135173,Closed,currency 1,-1473,0,-358.0,-893.0,,0,135000.0,0.0,,0.0,Credit card,-839,
178,5166602,Closed,currency 1,-1211,0,-845.0,-828.0,,0,50400.0,0.0,0.0,0.0,Consumer credit,-754,
180,5132180,Closed,currency 1,-2233,0,-1687.0,-2086.0,,0,135000.0,0.0,0.0,0.0,Consumer credit,-1300,
181,5793076,Closed,currency 1,-1208,0,-845.0,-845.0,,0,18940.5,0.0,0.0,0.0,Consumer credit,-740,
182,6534610,Closed,currency 1,-2772,0,-2222.0,-2240.0,,0,202500.0,0.0,0.0,0.0,Consumer credit,-535,
183,6461106,Closed,currency 1,-920,0,906.0,-828.0,,0,2115000.0,0.0,,0.0,Car loan,-297,22500.0
186,6543013,Active,currency 1,-264,0,284.0,,,0,276268.5,169366.5,0.0,0.0,Consumer credit,-18,
187,6832573,Closed,currency 1,-749,0,-473.0,-614.0,,0,0.0,0.0,0.0,0.0,Credit card,-41,32701.5
188,5057324,Active,currency 1,-649,0,81.0,,0.0,0,218043.135,38236.5,0.0,0.0,Consumer credit,-39,
189,5895198,Active,currency 1,-56,0,247.0,,,0,38061.0,35379.0,0.0,0.0,Consumer credit,-10,
190,6769697,Closed,currency 1,-2227,0,-2015.0,-2041.0,123.03,0,43872.48,0.0,0.0,0.0,Consumer credit,-2041,
191,6590413,Closed,currency 1,-1119,0,-937.0,-937.0,,0,87898.5,0.0,0.0,0.0,Consumer credit,-932,
192,6036645,Active,currency 1,-2647,0,8942.0,,,0,126468.0,,,0.0,Credit card,-11,
193,6251755,Active,currency 1,-1632,0,-1448.0,,,0,141075.0,0.0,,0.0,Consumer credit,-466,0.0
194,5801626,Active,currency 1,-374,0,1027.0,,,0,180000.0,0.0,0.0,0.0,Credit card,-52,
195,5085224,Active,currency 1,-907,0,1160.0,,0.0,0,0.0,-3032.055,3032.055,0.0,Credit card,-533,
196,5233748,Active,currency 1,-90,0,1006.0,,,0,225000.0,225000.0,0.0,0.0,Consumer credit,-71,
199,6052130,Closed,currency 1,-879,0,-545.0,-573.0,,0,52245.0,0.0,,0.0,Consumer credit,-441,0.0
200,6347398,Active,currency 1,-378,0,3924.0,,,0,1426500.0,1378422.0,0.0,0.0,Mortgage,-4,
201,5957484,Closed,currency 1,-1080,0,-774.0,-773.0,,0,99000.0,0.0,0.0,0.0,Consumer credit,-206,3321.0
202,5476758,Active,currency 1,-184,0,547.0,,,0,284400.0,246240.09,,0.0,Consumer credit,-8,
203,6806119,Closed,currency 1,-2784,0,-2510.0,-2510.0,0.0,0,29965.5,0.0,0.0,0.0,Consumer credit,-2505,
208,5717884,Closed,currency 1,-1378,0,-287.0,-219.0,,0,0.0,0.0,,0.0,Credit card,-37,
209,6570083,Closed,currency 1,-350,0,-16.0,-289.0,,0,56987.28,0.0,,0.0,Consumer credit,-279,
210,6290691,Closed,currency 1,-2692,0,-2478.0,-2537.0,0.0,0,43122.06,0.0,0.0,0.0,Consumer credit,-2537,
212,6032003,Closed,currency 1,-2349,0,-1984.0,-1984.0,0.0,0,37170.0,0.0,0.0,0.0,Consumer credit,-1984,
213,6271322,Closed,currency 1,-1084,0,760.0,-818.0,0.0,0,270000.0,-783.18,198783.18,0.0,Credit card,-818,
214,5074453,Closed,currency 1,-684,0,-378.0,-345.0,,0,450000.0,0.0,0.0,0.0,Credit card,-207,
215,5454736,Closed,currency 1,-641,0,-455.0,-455.0,,0,17955.0,0.0,0.0,0.0,Consumer credit,-403,0.0
217,5443566,Closed,currency 1,-2747,0,-2535.0,-2560.0,7802.46,0,44079.03,0.0,0.0,0.0,Consumer credit,-2533,
219,5973806,Closed,currency 1,-2587,0,-2464.0,-2493.0,15110.73,0,43119.0,0.0,0.0,0.0,Consumer credit,-2493,
220,6144178,Closed,currency 1,-2609,0,-2273.0,-2424.0,,0,75045.6,0.0,,0.0,Consumer credit,-754,
221,5766137,Closed,currency 1,-998,0,-633.0,-663.0,,0,68715.0,0.0,0.0,0.0,Consumer credit,-177,
222,6500031,Closed,currency 1,-2640,0,-1907.0,-1897.0,0.0,0,900000.0,0.0,0.0,0.0,Consumer credit,-948,
227,5249519,Closed,currency 1,-2210,0,-2028.0,-2002.0,,0,37584.0,0.0,0.0,0.0,Consumer credit,-757,
229,6322749,Closed,currency 1,-875,0,-510.0,-508.0,,0,225000.0,0.0,0.0,0.0,Consumer credit,-453,
231,5065001,Active,currency 1,-819,0,263.0,,,0,45000.0,0.0,0.0,0.0,Credit card,-122,
234,5793077,Closed,currency 1,-283,0,-222.0,-277.0,,0,22500.0,0.0,,0.0,Consumer credit,-277,
235,5846769,Active,currency 1,-1080,0,-349.0,,,0,145305.0,0.0,0.0,0.0,Consumer credit,-347,
236,5228282,Closed,currency 1,-1043,0,-951.0,-946.0,,0,68805.0,0.0,0.0,0.0,Consumer credit,-946,
237,5028536,Closed,currency 1,-485,0,1195.0,-365.0,,0,0.0,0.0,,0.0,Credit card,-72,
238,6408453,Closed,currency 1,-446,0,1387.0,-233.0,,0,0.0,0.0,,0.0,Credit card,-227,
239,6450117,Closed,currency 1,-2619,0,-1676.0,-2253.0,,0,449550.0,0.0,0.0,0.0,Consumer credit,-978,
243,5107484,Closed,currency 1,-1236,0,-870.0,-870.0,,0,144337.5,0.0,0.0,0.0,Consumer credit,-870,
244,5690470,Closed,currency 1,-1087,0,-995.0,-974.0,,0,23467.5,0.0,0.0,0.0,Consumer credit,-845,
246,5400308,Closed,currency 1,-1202,0,-902.0,-902.0,,0,733500.0,0.0,0.0,0.0,Consumer credit,-669,
250,5235230,Closed,currency 1,-2797,0,-2585.0,-2579.0,5757.84,0,32804.73,0.0,0.0,0.0,Consumer credit,-2553,
252,6520193,Closed,currency 1,-2856,0,-1761.0,-1728.0,,0,540000.0,0.0,0.0,0.0,Consumer credit,-231,0.0
253,5651883,Closed,currency 1,-348,0,-42.0,-42.0,,0,20434.5,0.0,0.0,0.0,Consumer credit,-37,
254,5801297,Closed,currency 1,-1145,0,-961.0,-949.0,,0,186120.0,0.0,0.0,0.0,Consumer credit,-701,
255,6281757,Active,currency 1,-1272,0,866.0,,,0,243000.0,242181.0,0.0,0.0,Credit card,-15,
256,5056480,Closed,currency 1,-2682,0,-855.0,-1938.0,,0,817920.0,0.0,0.0,0.0,Car loan,-1347,
257,6544295,Closed,currency 1,-2777,0,-950.0,-1945.0,,0,562500.0,0.0,0.0,0.0,Consumer credit,-488,2700.0
258,5766685,Closed,currency 1,-2411,0,-2289.0,-2314.0,5627.25,0,15750.0,0.0,0.0,0.0,Consumer credit,-2288,
259,5051473,Closed,currency 1,-815,0,-631.0,-657.0,,0,112500.0,0.0,0.0,0.0,Consumer credit,-655,
263,5457723,Closed,currency 1,-651,0,-211.0,-211.0,,0,0.0,0.0,0.0,0.0,Credit card,-207,
268,5801602,Active,currency 1,-466,0,264.0,,,0,167769.0,78138.0,,0.0,Consumer credit,-5,
269,6461633,Closed,currency 1,-1017,0,-804.0,-834.0,0.0,0,35682.66,0.0,0.0,0.0,Consumer credit,-834,
271,5796030,Active,currency 1,-1720,0,-1103.0,,,0,0.0,0.0,0.0,0.0,Credit card,-42,
272,6582833,Closed,currency 1,-1188,0,-1068.0,-1068.0,,0,77143.5,0.0,0.0,0.0,Consumer credit,-1062,
273,5214473,Closed,currency 1,-2378,0,-1283.0,-2174.0,,0,270000.0,0.0,0.0,0.0,Consumer credit,-284,
278,5163120,Closed,currency 1,-388,0,-206.0,-326.0,,0,175585.5,0.0,0.0,0.0,Consumer credit,-325,0.0
280,6368545,Active,currency 1,-820,0,1033.0,,,0,157500.0,170529.66,,0.0,Credit card,-22,0.0
282,5501989,Active,currency 1,-777,0,509.0,,,0,135000.0,0.0,0.0,0.0,Credit card,-39,
283,5742491,Closed,currency 1,-87,0,-71.0,-77.0,,0,13500.0,0.0,0.0,0.0,Consumer credit,-63,0.0
288,5051022,Closed,currency 1,-1876,0,-1694.0,-1689.0,,0,56583.0,0.0,0.0,0.0,Consumer credit,-819,
290,6348797,Active,currency 1,-268,0,5223.0,,,0,6075000.0,5982381.0,0.0,0.0,Mortgage,-9,
291,5050800,Closed,currency 1,-2606,0,-2058.0,-2094.0,,0,202500.0,0.0,0.0,0.0,Consumer credit,-565,
292,5716285,Active,currency 1,-979,0,-119.0,,,0,90000.0,0.0,0.0,0.0,Credit card,-42,
293,5833801,Active,currency 1,-856,0,985.0,,,0,436500.0,447762.6,,0.0,Credit card,-34,
294,5485994,Closed,currency 1,-2519,0,-2214.0,-2213.0,,0,98851.5,0.0,,0.0,Consumer credit,-437,
296,5895108,Closed,currency 1,-2111,0,-1828.0,-1828.0,,0,191920.5,0.0,0.0,0.0,Consumer credit,-1402,
297,5220573,Active,currency 1,-573,0,1253.0,,,0,2565000.0,2122191.0,0.0,0.0,Consumer credit,-75,
298,5117230,Closed,currency 1,-1183,0,-635.0,-632.0,,0,80995.5,0.0,0.0,0.0,Consumer credit,-632,22801.5
299,6794218,Active,currency 1,-1213,0,198.0,,,0,391500.0,395235.0,0.0,0.0,Credit card,-51,
300,5188380,Closed,currency 1,-1783,0,-1420.0,-904.0,,0,24300.0,,,0.0,Consumer credit,-901,
301,6054836,Sold,currency 1,-1415,0,-1111.0,-92.0,82202.355,0,118196.685,0.0,0.0,0.0,Consumer credit,-87,
302,5191262,Closed,currency 1,-754,0,-389.0,-371.0,12.69,0,18000.0,0.0,0.0,0.0,Consumer credit,-365,
303,6225920,Closed,currency 1,-1149,0,-844.0,-841.0,,0,25636.5,0.0,,0.0,Consumer credit,-841,
304,5130599,Active,currency 1,-1268,0,889.0,,,0,360000.0,376065.0,0.0,0.0,Credit card,-3,
305,6394960,Active,currency 1,-145,0,36.0,,0.0,0,32062.5,11277.0,0.0,0.0,Consumer credit,-22,
307,5661854,Closed,currency 1,-1130,0,-399.0,-399.0,,0,163737.0,0.0,0.0,0.0,Consumer credit,-389,
308,6632722,Closed,currency 1,-356,0,-144.0,-173.0,,0,113968.17,0.0,,0.0,Consumer credit,-169,
310,5821804,Active,currency 1,-746,0,27505.0,,,0,337500.0,0.0,0.0,0.0,Credit card,-286,
313,6419978,Active,currency 1,-744,0,,,0.0,0,112500.0,0.0,112500.0,0.0,Credit card,-28,
314,5956861,Active,currency 1,-569,0,848.0,,,0,112500.0,81666.0,0.0,0.0,Credit card,-107,
315,5103816,Closed,currency 1,-2747,0,-2350.0,-2379.0,10575.0,0,105079.5,0.0,0.0,0.0,Consumer credit,-2379,
316,6072877,Closed,currency 1,-2902,0,-2690.0,-2716.0,450.0,0,53352.0,0.0,0.0,0.0,Consumer credit,-2689,
317,5892314,Closed,currency 1,-1916,0,-90.0,-668.0,,0,494550.0,0.0,0.0,0.0,Consumer credit,-218,
318,6408317,Active,currency 1,-552,0,838.0,,,0,67500.0,0.0,0.0,0.0,Credit card,-33,
319,6076419,Active,currency 1,-834,0,1721.0,,0.0,0,555187.5,451628.55,0.0,0.0,Consumer credit,-9,
322,5031675,Active,currency 1,-1249,0,-693.0,,0.0,0,135000.0,-114.705,114.705,0.0,Credit card,-670,
323,5822004,Closed,currency 1,-990,0,-869.0,-868.0,,0,180000.0,0.0,0.0,0.0,Credit card,-704,
324,5813701,Closed,currency 1,-2382,0,-2200.0,-2200.0,0.0,0,37449.0,0.0,0.0,0.0,Consumer credit,-2199,
325,5971094,Active,currency 1,-340,0,5139.0,,,0,6277500.0,6143751.0,0.0,0.0,Mortgage,-4,16124.985
326,6553678,Closed,currency 1,-1065,0,-944.0,-1002.0,0.0,0,116536.32,0.0,0.0,0.0,Consumer credit,-1002,
329,6032942,Active,currency 1,-154,0,394.0,,0.0,0,162000.0,132111.0,0.0,0.0,Consumer credit,-27,9000.0
330,6021717,Closed,currency 1,-828,0,-708.0,-738.0,,0,30955.5,0.0,0.0,0.0,Consumer credit,-736,0.0
331,5523774,Closed,currency 1,-1037,0,-824.0,-798.0,8249.85,0,48127.68,0.0,0.0,0.0,Consumer credit,-793,
332,5237605,Closed,currency 1,-2798,0,-2463.0,-2491.0,,0,121500.0,0.0,,0.0,Consumer credit,-846,
333,5021508,Closed,currency 1,-724,0,-487.0,-487.0,,0,45000.0,0.0,,0.0,Credit card,-468,
335,6132341,Active,currency 1,-550,0,-65.0,,,0,90000.0,0.0,0.0,0.0,Consumer credit,-314,5175.0
336,6310481,Closed,currency 1,-2571,0,-2296.0,-2296.0,,0,64404.0,0.0,0.0,0.0,Consumer credit,-848,
338,6282360,Active,currency 1,-410,0,713.0,,,0,36000.0,0.0,0.0,0.0,Credit card,-22,
339,5465162,Closed,currency 1,-1181,0,-553.0,-553.0,0.0,0,1575000.0,0.0,0.0,0.0,Consumer credit,-553,40212.0
340,6470566,Active,currency 1,-148,0,31068.0,,,0,157455.0,0.0,0.0,0.0,Credit card,-20,
